Date,Location,Temperature,Humidity,Rainfall,Wind_Speed,Pressure
2021-03-15,Tokyo,15.95,66.67,0.0,21.2,997.83
2019-05-07,Cairo,24.68,37.51,0.0,2.74,1021.7
2018-01-26,Sydney,11.34,80.7,15.17,2.93,1020.99
2019-03-13,New York,3.26,86.39,7.49,10.13,1006.87
2020-09-21,Cairo,27.48,39.94,0.0,14.3,1014.15
2019-06-22,Singapore,26.15,88.56,0.0,2.14,1016.83
2020-09-21,Chicago,17.86,56.51,0.0,2.08,1006.11
2018-05-26,New York,19.0,59.0,0.0,4.71,1015.91
2020-08-05,Paris,25.77,59.23,0.0,1.66,1021.6
2019-04-18,Mumbai,17.5,90.77,0.0,5.04,1017.35
2020-03-01,London,5.89,76.0,0.0,2.82,1012.26
2022-04-27,Mumbai,30.71,77.69,6.49,2.34,986.39
2021-04-20,Cairo,23.95,38.87,0.0,22.58,1005.86
2020-05-02,Singapore,23.56,82.53,0.0,12.44,990.24
2019-06-21,Cairo,30.57,32.39,20.96,6.98,1017.61
2019-10-21,Paris,12.37,71.91,0.0,4.09,1018.03
2018-11-27,Cairo,10.85,60.57,0.0,0.5,1025.08
2022-12-15,Paris,3.07,84.44,0.0,5.28,1013.31
2019-07-27,Singapore,31.49,88.67,0.0,1.37,1000.15
2019-06-13,Chicago,27.09,52.82,0.0,11.72,1012.28
2020-05-30,Singapore,27.43,93.63,0.0,5.37,1019.26
2019-06-26,Singapore,29.95,73.15,0.0,6.47,1017.57
2022-05-31,London,15.13,55.43,0.0,2.99,1011.44
2020-04-29,Tokyo,20.03,63.87,0.0,11.57,1013.13
2019-07-06,Paris,23.41,54.79,0.0,11.46,1014.01
2019-10-25,Singapore,28.16,88.35,0.0,10.45,1008.66
2021-07-02,Cairo,37.25,23.79,0.0,6.46,1010.76
2020-07-30,Mumbai,33.22,67.24,0.0,5.82,1002.09
2022-04-29,Paris,14.62,79.72,0.0,2.78,1019.9
2018-01-16,New York,3.64,73.26,0.0,5.29,1026.09
2018-01-15,Chicago,,87.04,0.0,4.39,1019.22
2018-08-20,Sydney,29.85,60.44,0.0,10.01,1005.47
2022-11-19,Mumbai,24.3,94.77,0.0,0.63,1007.4
2022-09-30,New York,21.6,53.79,0.0,10.28,1018.14
2021-08-13,Toronto,21.72,67.34,0.0,6.14,1000.45
2020-02-08,Singapore,26.07,85.01,0.0,7.5,1009.56
2021-08-29,Mumbai,29.59,78.91,0.0,0.5,1003.78
2021-11-28,Toronto,4.21,76.45,0.0,8.5,1028.15
2022-07-01,Chicago,26.62,53.23,0.0,2.75,1013.25
2019-06-19,Sydney,23.18,50.13,0.0,5.94,1018.09
2021-11-14,Sydney,13.67,63.88,0.0,2.29,1013.49
2021-03-17,Chicago,3.96,75.73,12.68,16.69,1012.8
2022-06-26,Tokyo,25.2,51.8,0.0,16.04,1005.85
2021-05-10,London,13.0,73.54,9.69,29.0,1008.78
2019-01-10,Mumbai,20.13,86.22,38.95,7.21,1010.77
2020-10-01,Singapore,29.25,77.3,0.0,5.99,1007.47
2022-10-03,Tokyo,18.78,62.34,0.0,28.43,1018.69
2018-03-26,Cairo,21.69,44.32,0.0,2.69,1006.94
2020-08-25,Singapore,32.62,78.41,0.0,8.84,1006.86
2021-02-26,Tokyo,11.01,82.14,3.84,8.06,1001.4
2020-04-05,New York,9.78,74.19,1.36,15.01,1023.98
2021-10-27,Toronto,2.9,70.95,0.0,2.48,1011.85
2020-10-14,Singapore,28.69,79.57,0.0,5.32,1000.7
2019-07-09,Singapore,27.2,87.72,14.42,3.29,1006.71
2019-06-25,Singapore,30.22,75.1,0.43,4.91,1003.98
2019-03-02,Tokyo,6.25,72.14,0.0,5.17,1007.65
